                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7673,                 2.1732,                 1.6038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073836,              0.0018939,              0.0018939
                      2,                 1.6052,                 1.5071,                 1.5678,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046875,              0.0037095,              0.0037095
                      3,                 1.5434,                 1.3461,                 1.5274,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.019785,              0.0053967,              0.0053967
                      4,                 1.5404,                 1.3522,                 1.5407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060805,              0.0060805,              0.0060805
                      5,                 1.4773,                 1.2534,                 1.5028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058574,              0.0058574,              0.0058574
                      6,                 1.3986,                 1.1744,                 1.4613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056342,              0.0056342,              0.0056342
                      7,                 1.4185,                 1.1398,                 1.4502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054111,              0.0054111,              0.0054111
                      8,                 1.3491,                   1.09,                 1.4146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051879,              0.0051879,              0.0051879
                      9,                 1.3458,                 1.0615,                 1.4159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049648,              0.0049648,              0.0049648
                     10,                 1.3053,                 1.0287,                 1.3897,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047416,              0.0047416,              0.0047416
                     11,                  1.278,                0.98159,                  1.361,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045185,              0.0045185,              0.0045185
                     12,                 1.2964,                0.99327,                 1.3821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042953,              0.0042953,              0.0042953
                     13,                  1.267,                0.96986,                 1.3592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040722,              0.0040722,              0.0040722
                     14,                 1.2521,                0.95269,                  1.364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003849,               0.003849,               0.003849
                     15,                  1.228,                0.93054,                 1.3508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036259,              0.0036259,              0.0036259
                     16,                  1.201,                0.88359,                 1.3252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034027,              0.0034027,              0.0034027
                     17,                 1.1868,                0.88104,                 1.3116,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031796,              0.0031796,              0.0031796
                     18,                  1.182,                0.88454,                 1.3337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029564,              0.0029564,              0.0029564
                     19,                 1.1642,                0.85896,                 1.3118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027333,              0.0027333,              0.0027333
                     20,                 1.1617,                0.83535,                 1.3063,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025101,              0.0025101,              0.0025101
                     21,                 1.0828,                0.78203,                 1.2893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002287,               0.002287,               0.002287
                     22,                  1.066,                0.75244,                 1.2761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020638,              0.0020638,              0.0020638
                     23,                 1.0632,                0.74611,                 1.2703,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018407,              0.0018407,              0.0018407
                     24,                 1.0359,                0.72707,                 1.2532,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016175,              0.0016175,              0.0016175
                     25,                 1.0105,                 0.6925,                  1.233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013944,              0.0013944,              0.0013944
                     26,                0.99582,                0.67708,                 1.2388,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011712,              0.0011712,              0.0011712
                     27,                0.98119,                0.66588,                 1.2274,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094809,             0.00094809,             0.00094809
                     28,                  0.948,                0.64582,                  1.213,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00072494,             0.00072494,             0.00072494
                     29,                0.94734,                0.64428,                 1.2082,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00050179,             0.00050179,             0.00050179
                     30,                0.93949,                0.62725,                 1.2093,                0.94055,                0.89235,                 0.9491,                0.66187,                 1.1237,                0.70975,                 1.2551,             0.00027864,             0.00027864,             0.00027864
