                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6475,                 1.9184,                  1.326,                 0.8318,                 0.7182,                0.84768,                0.39282,                 1.7351,                 1.6907,                 1.2318,             0.00054518,             0.00054518,             0.00054518
                      2,                 1.3841,                 1.1085,                 1.1677,                0.89893,                0.84659,                0.90273,                0.39965,                 1.7812,                 1.1376,                 1.2124,              0.0010791,              0.0010791,              0.0010791
                      3,                 1.3032,                0.98831,                 1.1388,                 0.9095,                0.89531,                0.94601,                0.58559,                 1.2241,                 0.9915,                 1.0805,              0.0015909,              0.0015909,              0.0015909
                      4,                 1.2823,                0.93934,                 1.1368,                0.93596,                0.91027,                0.94706,                0.57161,                 1.3212,                0.87632,                 1.0754,               0.001568,               0.001568,               0.001568
                      5,                 1.2816,                0.92748,                 1.1307,                0.94733,                0.93308,                0.96018,                0.59679,                 1.2438,                0.81906,                 1.0687,               0.001535,               0.001535,               0.001535
                      6,                 1.2206,                 0.8507,                 1.1066,                0.94229,                0.92875,                0.95903,                0.58201,                 1.2829,                0.80404,                 1.0492,               0.001502,               0.001502,               0.001502
                      7,                 1.2001,                0.82063,                 1.1033,                0.95511,                0.91975,                  0.966,                0.62347,                  1.181,                0.81768,                 1.0477,               0.001469,               0.001469,               0.001469
                      8,                 1.2019,                 0.8116,                 1.0971,                0.96458,                0.94267,                0.96937,                0.61668,                 1.2273,                0.71796,                 1.0307,               0.001436,               0.001436,               0.001436
                      9,                  1.176,                0.77458,                  1.089,                 0.9653,                 0.9533,                0.97269,                0.62721,                 1.2046,                 0.6694,                 1.0209,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1621,                0.76101,                 1.0813,                0.96702,                 0.9431,                0.97371,                0.64853,                 1.1441,                0.67597,                 1.0151,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1951,                0.76562,                 1.0975,                0.97256,                0.94589,                0.97004,                0.62987,                 1.2187,                 0.6891,                 1.0194,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1332,                0.72697,                 1.0725,                0.95894,                0.94773,                0.97255,                0.64515,                 1.1619,                0.71345,                 1.0336,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1177,                0.70469,                 1.0703,                0.96548,                0.92789,                0.96874,                0.62491,                  1.212,                0.65316,                 1.0398,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1256,                0.70095,                 1.0743,                0.97015,                0.95179,                0.97621,                0.66697,                  1.086,                0.63104,                0.99244,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0877,                0.67591,                 1.0497,                0.97342,                0.96455,                0.97683,                0.66277,                 1.1218,                0.61003,                0.99927,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0952,                0.67237,                 1.0616,                0.97452,                0.94381,                0.97743,                0.66564,                 1.0951,                0.60344,                0.99288,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1186,                0.68177,                 1.0718,                 0.9653,                0.95528,                0.97472,                0.64204,                 1.1532,                0.62192,                 0.9976,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0794,                0.65553,                 1.0575,                0.96933,                0.96079,                0.97825,                0.66931,                 1.1023,                0.61129,                 1.0002,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0703,                0.64456,                 1.0496,                0.97763,                0.95387,                0.97678,                 0.6672,                 1.1251,                0.59729,                0.99498,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0749,                0.64518,                 1.0545,                0.97724,                 0.9373,                0.97476,                0.66507,                 1.0952,                0.59537,                0.98902,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.0417,                0.61548,                 1.0334,                0.97282,                0.95177,                0.97818,                0.64076,                 1.1858,                0.61074,                 1.0237,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.0423,                0.61467,                 1.0383,                0.97358,                 0.9634,                0.97751,                0.68653,                 1.0555,                0.56678,                0.96911,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.0575,                 0.6184,                 1.0444,                0.98571,                0.96218,                0.98099,                0.67914,                 1.0758,                0.54647,                0.98302,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.0072,                0.59071,                  1.027,                0.97123,                0.95626,                0.97783,                0.67186,                 1.0798,                0.55202,                0.98174,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.0156,                0.60002,                 1.0272,                0.96771,                0.95413,                0.97784,                0.65136,                 1.1508,                0.59232,                 1.0183,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.0046,                0.58866,                 1.0288,                0.97406,                0.95636,                0.97466,                0.64062,                 1.1668,                0.57714,                 1.0121,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.0041,                0.58852,                  1.027,                0.97697,                0.96703,                0.98056,                0.69077,                 1.0346,                0.52445,                0.96747,             0.00080883,             0.00080883,             0.00080883
                     28,                0.98984,                 0.5719,                 1.0214,                0.97891,                0.96431,                0.98248,                0.69229,                 1.0293,                0.52748,                0.96816,             0.00077582,             0.00077582,             0.00077582
