                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90442,                0.50636,                0.99322,                0.99457,                0.97843,                0.99331,                0.73631,                0.95813,                0.46436,                0.95902,             0.00054478,             0.00054478,             0.00054478
                     36,                0.90537,                0.50768,                0.99451,                0.98802,                0.98097,                0.99065,                0.71606,                 1.0042,                0.47663,                0.97213,             0.00051177,             0.00051177,             0.00051177
                     37,                0.90353,                0.50092,                0.99293,                 0.9885,                0.98137,                0.99195,                0.74071,                0.93548,                0.45223,                0.95331,             0.00047876,             0.00047876,             0.00047876
                     38,                0.89102,                0.49469,                0.98859,                0.98793,                0.97397,                0.98977,                0.73511,                0.94558,                 0.4483,                0.95025,             0.00044576,             0.00044576,             0.00044576
                     39,                0.88034,                0.49025,                 0.9838,                0.98727,                0.98264,                 0.9919,                0.73113,                0.96327,                0.45727,                0.95313,             0.00041275,             0.00041275,             0.00041275
                     40,                0.87166,                0.48315,                0.98711,                0.99185,                0.98078,                 0.9905,                 0.7298,                0.96633,                0.44482,                0.95729,             0.00037974,             0.00037974,             0.00037974
                     41,                0.83607,                0.43792,                0.95894,                0.98136,                0.97773,                0.99051,                0.72702,                0.95165,                0.45663,                0.95535,             0.00034674,             0.00034674,             0.00034674
                     42,                0.79536,                0.42222,                0.94242,                 0.9895,                0.98241,                0.99019,                0.73214,                0.94757,                0.44737,                0.94843,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.7905,                0.41653,                0.94071,                 0.9861,                0.97747,                0.99127,                0.73666,                0.94478,                0.44179,                0.95048,             0.00028072,             0.00028072,             0.00028072
                     44,                0.78135,                0.40975,                 0.9361,                0.98803,                 0.9796,                0.99169,                0.74215,                0.93807,                0.43486,                0.94781,             0.00024772,             0.00024772,             0.00024772
                     45,                0.76967,                 0.4064,                0.93149,                0.98481,                0.98046,                0.99189,                0.74101,                0.93671,                0.43454,                0.94915,             0.00021471,             0.00021471,             0.00021471
                     46,                0.76251,                0.40346,                0.92984,                0.98941,                0.97732,                0.99131,                0.73808,                0.94997,                0.43839,                0.95666,              0.0001817,              0.0001817,              0.0001817
                     47,                0.76056,                0.39954,                0.92786,                0.98839,                0.98161,                0.99235,                0.74086,                0.94771,                 0.4293,                0.94656,              0.0001487,              0.0001487,              0.0001487
                     48,                0.75143,                0.39702,                0.92987,                0.98957,                0.97556,                0.99095,                0.73644,                0.94744,                0.43414,                0.95668,             0.00011569,             0.00011569,             0.00011569
                     49,                0.74352,                0.39106,                0.92453,                 0.9885,                0.97772,                0.99242,                0.74549,                 0.9358,                0.42681,                0.94774,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.73152,                0.38437,                0.91915,                0.98941,                0.97644,                0.99079,                 0.7398,                0.94643,                0.43015,                0.95058,             4.9677e-05,             4.9677e-05,             4.9677e-05
